DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2004/05",,,,,,FROM,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004
AREA_TYPE,Local Authority,,,,,,TO,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"F","West Midlands",,,"00CR","Dudley",,,59250,4108,857,9688,1581,327,405,467,1462
"F","West Midlands",,,"00CS","Sandwell",,,67430,5413,1191,8124,2054,445,311,335,1656
"F","West Midlands",,,"00CT","Solihull",,,41015,2375,814,5280,1426,224,253,290,1086
"F","West Midlands",,,"00CU","Walsall",,,60614,3734,795,9254,1503,323,309,352,1261
"F","West Midlands",,,"00CW","Wolverhampton",,,56106,4429,1471,7410,1102,332,251,350,1325
"F","West Midlands",,,"00GA","Herefordshire, County of",,,33485,2354,793,5304,867,99,314,186,1145
"F","West Midlands",,,"00GF","Telford and Wrekin",,,32636,2727,676,4301,792,180,169,128,919
"F","West Midlands",,,"00GL","Stoke-on-Trent",,,73119,5389,1821,8081,788,451,215,187,1042
"F","West Midlands","39","Shropshire","39UB","Bridgnorth",,,10285,777,222,1615,261,65,80,67,391
"F","West Midlands","39","Shropshire","39UC","North Shropshire",,,12821,903,264,1885,294,80,127,104,507
"F","West Midlands","39","Shropshire","39UD","Oswestry",,,6986,453,145,1172,174,36,97,67,269
"F","West Midlands","39","Shropshire","39UE","Shrewsbury and Atcham",,,21871,1419,383,3197,718,112,183,144,1034
"F","West Midlands","39","Shropshire","39UF","South Shropshire",,,9505,608,210,1419,257,42,94,71,386
